;Datenpunkt;Luftgütesensor 2.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 2.MY_HUMIDITY;Luftgütesensor 2.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
28.12.2020 15:41:06,534;2;434.800;37,2;23,5
28.12.2020 15:45:28,948;2;434.800;37,2;23,5
28.12.2020 15:45:28,951;2;434.800;37,2;23,5
28.12.2020 15:45:28,957;2;434.880;37,2;23,5
28.12.2020 15:49:51,337;2;434.880;37,2;23,6
28.12.2020 15:49:51,340;2;434.880;37,2;23,6
28.12.2020 15:49:51,344;2;433.120;37,2;23,6
28.12.2020 15:54:13,737;2;433.120;37,2;23,6
28.12.2020 15:54:13,741;2;433.120;37,2;23,6
28.12.2020 15:54:13,747;2;432.780;37,2;23,6
28.12.2020 15:58:36,130;2;432.780;37,2;23,6
28.12.2020 15:58:36,132;2;432.780;37,2;23,6
28.12.2020 15:58:36,138;2;431.860;37,2;23,6
28.12.2020 16:02:58,527;2;431.860;37,2;23,6
28.12.2020 16:02:58,536;2;431.860;37,2;23,6
28.12.2020 16:02:58,541;2;431.200;37,2;23,6
28.12.2020 16:07:20,925;2;431.200;37,2;23,6
28.12.2020 16:07:20,934;2;431.200;37,2;23,6
28.12.2020 16:07:20,939;2;429.900;37,2;23,6
28.12.2020 16:11:43,326;2;429.900;37,2;23,6
28.12.2020 16:11:43,329;2;429.900;37,2;23,6
28.12.2020 16:11:43,334;2;429.480;37,2;23,6
28.12.2020 16:16:05,729;2;429.480;37,2;23,6
28.12.2020 16:16:05,739;2;429.480;37,2;23,6
28.12.2020 16:16:05,744;2;427.000;37,2;23,6
28.12.2020 16:20:28,132;2;427.000;37,2;23,6
28.12.2020 16:20:28,140;2;427.000;37,4;23,6
28.12.2020 16:20:28,146;2;424.840;37,4;23,6
28.12.2020 16:24:50,550;2;424.840;37,4;23,6
28.12.2020 16:24:50,552;2;424.840;37,4;23,6
28.12.2020 16:24:50,556;2;423.820;37,4;23,6
28.12.2020 16:29:12,983;2;423.820;37,4;23,6
28.12.2020 16:29:12,993;2;423.820;37,5;23,6
28.12.2020 16:29:12,998;2;421.420;37,5;23,6
28.12.2020 16:33:35,384;2;421.420;37,5;23,7
28.12.2020 16:33:35,394;2;421.420;37,7;23,7
28.12.2020 16:33:35,400;2;417.140;37,7;23,7
28.12.2020 16:37:57,786;2;417.140;37,7;23,7
28.12.2020 16:37:57,796;2;417.140;37,8;23,7
28.12.2020 16:37:57,801;2;412.160;37,8;23,7
28.12.2020 16:42:20,206;2;412.160;37,8;23,8
28.12.2020 16:42:20,209;2;412.160;37,9;23,8
28.12.2020 16:42:20,214;2;402.360;37,9;23,8
28.12.2020 16:46:42,620;2;402.360;37,9;23,8
28.12.2020 16:46:42,630;2;402.360;38,2;23,8
28.12.2020 16:46:42,636;2;397.920;38,2;23,8
28.12.2020 16:51:05,048;2;397.920;38,2;23,9
28.12.2020 16:51:05,057;2;397.920;38,4;23,9
28.12.2020 16:51:05,063;2;387.600;38,4;23,9
28.12.2020 16:55:27,497;2;387.600;38,4;23,9
28.12.2020 16:55:27,517;2;387.600;38,6;23,9
28.12.2020 16:55:27,521;2;383.420;38,6;23,9
28.12.2020 16:59:49,935;2;383.420;38,6;24
28.12.2020 16:59:49,938;2;383.420;38,5;24
28.12.2020 16:59:49,944;2;383.860;38,5;24
28.12.2020 17:04:12,380;2;383.860;38,5;24
28.12.2020 17:04:12,384;2;383.860;38,2;24
28.12.2020 17:04:12,389;2;384.740;38,2;24
28.12.2020 17:08:34,831;2;384.740;38,2;24,1
28.12.2020 17:08:34,834;2;384.740;38;24,1
28.12.2020 17:08:34,839;2;383.820;38;24,1
28.12.2020 17:12:57,326;2;383.820;38;24,1
28.12.2020 17:12:57,338;2;383.820;38,2;24,1
28.12.2020 17:12:57,344;2;384.500;38,2;24,1
28.12.2020 17:17:19,790;2;384.500;38,2;24,2
28.12.2020 17:17:19,793;2;384.500;38,3;24,2
28.12.2020 17:17:19,798;2;384.740;38,3;24,2
28.12.2020 17:21:42,253;2;384.740;38,3;24,2
28.12.2020 17:21:42,257;2;384.740;38,4;24,2
28.12.2020 17:21:42,262;2;386.460;38,4;24,2
28.12.2020 17:26:04,728;2;386.460;38,4;24,3
28.12.2020 17:26:04,732;2;386.460;38,3;24,3
28.12.2020 17:26:04,738;2;391.580;38,3;24,3
28.12.2020 17:26:06,677;2;391.580;38,3;24,3
28.12.2020 17:26:06,679;2;391.580;38,3;24,3
28.12.2020 17:26:06,685;2;391.580;38,3;24,3
28.12.2020 17:26:08,973;2;391.580;38,3;24,3
28.12.2020 17:26:08,983;2;391.580;38,3;24,3
28.12.2020 17:26:08,989;2;391.580;38,3;24,3
