;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
01.01.2021 02:19:17,790;2;118.160;36,4;24,6
01.01.2021 02:23:49,552;2;118.160;36,4;24,6
01.01.2021 02:23:49,564;2;118.160;36,4;24,6
01.01.2021 02:23:49,572;2;118.080;36,4;24,6
01.01.2021 02:28:21,329;2;118.080;36,4;24,5
01.01.2021 02:28:21,334;2;118.080;36,5;24,5
01.01.2021 02:28:21,342;2;118.200;36,5;24,5
01.01.2021 02:32:53,104;2;118.200;36,5;24,5
01.01.2021 02:32:53,117;2;118.200;36,5;24,5
01.01.2021 02:32:53,125;2;117.820;36,5;24,5
01.01.2021 02:37:24,970;2;117.820;36,5;24,5
01.01.2021 02:37:24,980;2;117.820;36,5;24,5
01.01.2021 02:37:24,986;2;117.820;36,5;24,5
01.01.2021 02:41:56,742;2;117.820;36,5;24,5
01.01.2021 02:41:56,749;2;117.820;36,6;24,5
01.01.2021 02:41:56,757;2;117.340;36,6;24,5
01.01.2021 02:46:28,508;2;117.340;36,6;24,5
01.01.2021 02:46:28,512;2;117.340;36,6;24,5
01.01.2021 02:46:28,520;2;117.500;36,6;24,5
01.01.2021 02:51:00,275;2;117.500;36,6;24,5
01.01.2021 02:51:00,279;2;117.500;36,6;24,5
01.01.2021 02:51:00,286;2;117.380;36,6;24,5
01.01.2021 02:55:32,030;2;117.380;36,6;24,4
01.01.2021 02:55:32,034;2;117.380;36,6;24,4
01.01.2021 02:55:32,046;2;117.940;36,6;24,4
01.01.2021 03:00:03,791;2;117.940;36,6;24,4
01.01.2021 03:00:03,796;2;117.940;36,7;24,4
01.01.2021 03:00:03,802;2;118.220;36,7;24,4
01.01.2021 03:04:35,548;2;118.220;36,7;24,4
01.01.2021 03:04:35,552;2;118.220;36,7;24,4
01.01.2021 03:04:35,559;2;117.940;36,7;24,4
01.01.2021 03:09:07,297;2;117.940;36,7;24,3
01.01.2021 03:09:07,305;2;117.940;36,7;24,3
01.01.2021 03:09:07,310;2;117.800;36,7;24,3
